,Name,Type,Shape
0,input_17,InputLayer,"[(None, 250, 250, 3)]"
1,block1_conv1,Conv2D,"(None, 250, 250, 64)"
2,block1_conv2,Conv2D,"(None, 250, 250, 64)"
3,block1_pool,MaxPooling2D,"(None, 125, 125, 64)"
4,block2_conv1,Conv2D,"(None, 125, 125, 128)"
5,block2_conv2,Conv2D,"(None, 125, 125, 128)"
6,block2_pool,MaxPooling2D,"(None, 62, 62, 128)"
7,block3_conv1,Conv2D,"(None, 62, 62, 256)"
8,block3_conv2,Conv2D,"(None, 62, 62, 256)"
9,block3_conv3,Conv2D,"(None, 62, 62, 256)"
10,block3_pool,MaxPooling2D,"(None, 31, 31, 256)"
11,block4_conv1,Conv2D,"(None, 31, 31, 512)"
12,block4_conv2,Conv2D,"(None, 31, 31, 512)"
13,block4_conv3,Conv2D,"(None, 31, 31, 512)"
14,block4_pool,MaxPooling2D,"(None, 15, 15, 512)"
15,block5_conv1,Conv2D,"(None, 15, 15, 512)"
16,block5_conv2,Conv2D,"(None, 15, 15, 512)"
17,block5_conv3,Conv2D,"(None, 15, 15, 512)"
18,block5_pool,MaxPooling2D,"(None, 7, 7, 512)"
19,global_average_pooling2d_1,GlobalAveragePooling2D,"(None, 512)"
